Elements,Time,Distribution
7200,75827,ASCENDING
7200,75841,DESCENDING
7200,1184,ASHAPE
7200,1243,VSHAPE
7300,1134,UNIFORM
7300,417,CONSTANT
7300,78361,ASCENDING
7300,77611,DESCENDING
7300,1226,ASHAPE
7300,1220,VSHAPE
7400,1355,UNIFORM
7400,417,CONSTANT
7400,80236,ASCENDING
7400,79829,DESCENDING
7400,1319,ASHAPE
7400,1260,VSHAPE
7500,1133,UNIFORM
7500,426,CONSTANT
7500,82735,ASCENDING
7500,81678,DESCENDING
7500,1227,ASHAPE
7500,1285,VSHAPE
7600,1171,UNIFORM
7600,429,CONSTANT
7600,84705,ASCENDING
7600,83856,DESCENDING
7600,1283,ASHAPE
7600,1362,VSHAPE
7700,3339,UNIFORM
7700,848,CONSTANT
7700,87116,ASCENDING
7700,86244,DESCENDING
7700,1243,ASHAPE
7700,1396,VSHAPE
7800,1174,UNIFORM
7800,442,CONSTANT
7800,92115,ASCENDING
7800,88534,DESCENDING
7800,1319,ASHAPE
7800,1319,VSHAPE
7900,1189,UNIFORM
7900,501,CONSTANT
7900,91466,ASCENDING
7900,90969,DESCENDING
7900,1374,ASHAPE
7900,1349,VSHAPE
8000,1202,UNIFORM
8000,465,CONSTANT
8000,93921,ASCENDING
8000,93104,DESCENDING
8000,1362,ASHAPE
8000,1415,VSHAPE
8100,1255,UNIFORM
8100,466,CONSTANT
8100,96602,ASCENDING
8100,95566,DESCENDING
8100,1378,ASHAPE
8100,1409,VSHAPE
8200,1311,UNIFORM
8200,582,CONSTANT
8200,98763,ASCENDING
8200,97513,DESCENDING
8200,1483,ASHAPE
8200,1854,VSHAPE
8300,1272,UNIFORM
8300,476,CONSTANT
8300,100693,ASCENDING
8300,100018,DESCENDING
8300,1487,ASHAPE
8300,1515,VSHAPE
8400,1356,UNIFORM
8400,504,CONSTANT
8400,103520,ASCENDING
8400,102415,DESCENDING
8400,1442,ASHAPE
8400,1493,VSHAPE
8500,1289,UNIFORM
8500,487,CONSTANT
8500,105527,ASCENDING
8500,107343,DESCENDING
8500,1494,ASHAPE
8500,1519,VSHAPE
8600,1373,UNIFORM
8600,493,CONSTANT
8600,108068,ASCENDING
8600,107471,DESCENDING
8600,1454,ASHAPE
8600,1483,VSHAPE
8700,1327,UNIFORM
8700,497,CONSTANT
8700,110566,ASCENDING
8700,110497,DESCENDING
8700,1535,ASHAPE
8700,1831,VSHAPE
8800,1424,UNIFORM
8800,601,CONSTANT
8800,113379,ASCENDING
8800,112244,DESCENDING
8800,1487,ASHAPE
8800,1528,VSHAPE
8900,1345,UNIFORM
8900,523,CONSTANT
8900,115859,ASCENDING
8900,115088,DESCENDING
8900,1554,ASHAPE
8900,1496,VSHAPE
9000,1387,UNIFORM
9000,512,CONSTANT
9000,119004,ASCENDING
9000,117871,DESCENDING
9000,1682,ASHAPE
9000,1742,VSHAPE
9100,1387,UNIFORM
9100,516,CONSTANT
9100,120795,ASCENDING
9100,120574,DESCENDING
9100,1526,ASHAPE
9100,1564,VSHAPE
9200,1468,UNIFORM
9200,528,CONSTANT
9200,124742,ASCENDING
9200,122992,DESCENDING
9200,1579,ASHAPE
9200,1646,VSHAPE
9300,1464,UNIFORM
9300,529,CONSTANT
9300,126751,ASCENDING
9300,125786,DESCENDING
9300,1621,ASHAPE
9300,1740,VSHAPE
9400,1506,UNIFORM
9400,538,CONSTANT
9400,129067,ASCENDING
9400,128438,DESCENDING
9400,1646,ASHAPE
9400,1662,VSHAPE
9500,1455,UNIFORM
9500,541,CONSTANT
9500,131957,ASCENDING
9500,134591,DESCENDING
9500,1733,ASHAPE
9500,1690,VSHAPE
9600,1463,UNIFORM
9600,568,CONSTANT
9600,134467,ASCENDING
9600,133705,DESCENDING
9600,1693,ASHAPE
9600,1700,VSHAPE
9700,1468,UNIFORM
9700,545,CONSTANT
9700,137619,ASCENDING
9700,135828,DESCENDING
9700,1988,ASHAPE
9700,1903,VSHAPE
9800,1486,UNIFORM
9800,560,CONSTANT
9800,140124,ASCENDING
9800,141853,DESCENDING
9800,1852,ASHAPE
9800,1779,VSHAPE
9900,1573,UNIFORM
9900,569,CONSTANT
9900,143024,ASCENDING
9900,141814,DESCENDING
9900,1749,ASHAPE
9900,1780,VSHAPE
10000,1594,UNIFORM
10000,599,CONSTANT
10000,146055,ASCENDING
10000,144971,DESCENDING
10000,1790,ASHAPE
10000,1859,VSHAPE
10100,1607,UNIFORM
10100,580,CONSTANT
10100,148979,ASCENDING
10100,148214,DESCENDING
10100,1791,ASHAPE
10100,1816,VSHAPE
10200,1613,UNIFORM
10200,581,CONSTANT
10200,155253,ASCENDING
10200,153602,DESCENDING
10200,1812,ASHAPE
10200,1829,VSHAPE
10300,1585,UNIFORM
10300,572,CONSTANT
10300,158527,ASCENDING
10300,155166,DESCENDING
10300,1856,ASHAPE
10300,1948,VSHAPE
10400,1599,UNIFORM
10400,586,CONSTANT
10400,160525,ASCENDING
10400,156943,DESCENDING
10400,1874,ASHAPE
10400,2160,VSHAPE
10500,1609,UNIFORM
10500,622,CONSTANT
10500,161438,ASCENDING
10500,159631,DESCENDING
10500,1862,ASHAPE
10500,1946,VSHAPE
10600,1704,UNIFORM
10600,599,CONSTANT
10600,163657,ASCENDING
10600,162461,DESCENDING
10600,1911,ASHAPE
10600,1928,VSHAPE
10700,1642,UNIFORM
10700,609,CONSTANT
