Elements,Time,Distribution
9800,375,UNIFORM
9800,171,CONSTANT
9800,349,ASCENDING
9800,286,DESCENDING
9800,330,ASHAPE
9800,301,VSHAPE
9900,378,UNIFORM
9900,171,CONSTANT
9900,410,ASCENDING
9900,276,DESCENDING
9900,320,ASHAPE
9900,304,VSHAPE
10000,418,UNIFORM
10000,174,CONSTANT
10000,355,ASCENDING
10000,294,DESCENDING
10000,336,ASHAPE
10000,320,VSHAPE
10100,386,UNIFORM
10100,176,CONSTANT
10100,372,ASCENDING
10100,332,DESCENDING
10100,339,ASHAPE
10100,324,VSHAPE
10200,393,UNIFORM
10200,174,CONSTANT
10200,358,ASCENDING
10200,284,DESCENDING
10200,361,ASHAPE
10200,323,VSHAPE
10300,394,UNIFORM
10300,179,CONSTANT
10300,366,ASCENDING
10300,300,DESCENDING
10300,368,ASHAPE
10300,327,VSHAPE
10400,398,UNIFORM
10400,181,CONSTANT
10400,404,ASCENDING
10400,359,DESCENDING
10400,385,ASHAPE
10400,321,VSHAPE
10500,401,UNIFORM
10500,189,CONSTANT
10500,374,ASCENDING
10500,306,DESCENDING
10500,382,ASHAPE
10500,335,VSHAPE
10600,407,UNIFORM
10600,171,CONSTANT
10600,376,ASCENDING
10600,308,DESCENDING
10600,355,ASHAPE
10600,339,VSHAPE
10700,454,UNIFORM
10700,172,CONSTANT
10700,418,ASCENDING
10700,339,DESCENDING
10700,397,ASHAPE
10700,328,VSHAPE
10800,414,UNIFORM
10800,174,CONSTANT
10800,380,ASCENDING
10800,301,DESCENDING
10800,349,ASHAPE
10800,332,VSHAPE
10900,475,UNIFORM
10900,198,CONSTANT
10900,385,ASCENDING
10900,304,DESCENDING
10900,379,ASHAPE
10900,375,VSHAPE
11000,421,UNIFORM
11000,214,CONSTANT
11000,423,ASCENDING
11000,319,DESCENDING
11000,355,ASHAPE
11000,338,VSHAPE
11100,424,UNIFORM
11100,188,CONSTANT
11100,390,ASCENDING
11100,319,DESCENDING
11100,358,ASHAPE
11100,373,VSHAPE
11200,428,UNIFORM
11200,220,CONSTANT
11200,394,ASCENDING
11200,312,DESCENDING
11200,371,ASHAPE
11200,386,VSHAPE
11300,431,UNIFORM
11300,194,CONSTANT
11300,400,ASCENDING
11300,315,DESCENDING
11300,377,ASHAPE
11300,360,VSHAPE
11400,436,UNIFORM
11400,193,CONSTANT
11400,400,ASCENDING
11400,318,DESCENDING
11400,368,ASHAPE
11400,402,VSHAPE
11500,441,UNIFORM
11500,185,CONSTANT
11500,407,ASCENDING
11500,320,DESCENDING
11500,375,ASHAPE
11500,363,VSHAPE
11600,442,UNIFORM
11600,196,CONSTANT
11600,406,ASCENDING
11600,323,DESCENDING
11600,375,ASHAPE
11600,357,VSHAPE
11700,486,UNIFORM
11700,188,CONSTANT
11700,399,ASCENDING
11700,326,DESCENDING
11700,388,ASHAPE
11700,359,VSHAPE
11800,451,UNIFORM
11800,199,CONSTANT
11800,413,ASCENDING
11800,329,DESCENDING
11800,381,ASHAPE
11800,400,VSHAPE
11900,525,UNIFORM
11900,201,CONSTANT
11900,417,ASCENDING
11900,332,DESCENDING
11900,413,ASHAPE
11900,365,VSHAPE
12000,457,UNIFORM
12000,197,CONSTANT
12000,423,ASCENDING
12000,335,DESCENDING
12000,451,ASHAPE
12000,368,VSHAPE
12100,462,UNIFORM
12100,194,CONSTANT
12100,424,ASCENDING
12100,337,DESCENDING
12100,399,ASHAPE
12100,381,VSHAPE
12200,466,UNIFORM
12200,242,CONSTANT
12200,427,ASCENDING
12200,340,DESCENDING
12200,411,ASHAPE
12200,385,VSHAPE
12300,518,UNIFORM
12300,198,CONSTANT
12300,453,ASCENDING
12300,343,DESCENDING
12300,399,ASHAPE
12300,378,VSHAPE
12400,473,UNIFORM
12400,200,CONSTANT
12400,435,ASCENDING
12400,346,DESCENDING
12400,401,ASHAPE
12400,421,VSHAPE
12500,478,UNIFORM
12500,201,CONSTANT
12500,472,ASCENDING
12500,348,DESCENDING
12500,405,ASHAPE
12500,384,VSHAPE
12600,521,UNIFORM
12600,274,CONSTANT
12600,446,ASCENDING
12600,352,DESCENDING
12600,600,ASHAPE
12600,438,VSHAPE
12700,486,UNIFORM
12700,245,CONSTANT
12700,466,ASCENDING
12700,355,DESCENDING
12700,412,ASHAPE
12700,392,VSHAPE
12800,492,UNIFORM
12800,235,CONSTANT
12800,438,ASCENDING
12800,357,DESCENDING
12800,414,ASHAPE
12800,394,VSHAPE
12900,573,UNIFORM
12900,233,CONSTANT
12900,651,ASCENDING
12900,502,DESCENDING
12900,427,ASHAPE
12900,397,VSHAPE
13000,500,UNIFORM
13000,209,CONSTANT
13000,465,ASCENDING
13000,363,DESCENDING
13000,421,ASHAPE
13000,399,VSHAPE
13100,538,UNIFORM
13100,210,CONSTANT
13100,448,ASCENDING
13100,365,DESCENDING
13100,460,ASHAPE
13100,413,VSHAPE
13200,503,UNIFORM
13200,212,CONSTANT
13200,453,ASCENDING
13200,399,DESCENDING
13200,428,ASHAPE
13200,408,VSHAPE
13300,516,UNIFORM
13300,214,CONSTANT
13300,483,ASCENDING
13300,373,DESCENDING
13300,550,ASHAPE
13300,409,VSHAPE
13400,528,UNIFORM
13400,249,CONSTANT
13400,458,ASCENDING
13400,374,DESCENDING
13400,434,ASHAPE
13400,412,VSHAPE
13500,515,UNIFORM
13500,217,CONSTANT
13500,472,ASCENDING
13500,409,DESCENDING
13500,437,ASHAPE
13500,415,VSHAPE
13600,521,UNIFORM
13600,222,CONSTANT
13600,471,ASCENDING
13600,411,DESCENDING
13600,439,ASHAPE
13600,419,VSHAPE
13700,526,UNIFORM
13700,220,CONSTANT
13700,468,ASCENDING
13700,382,DESCENDING
